SDSS Object ID,RA,DEC,X-ray,Ks mag,zsp,rmag,DR1 Source,RA,DEC,Sint,DR2 Source,RA2,DEC2,SpeakTot,e_Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12,FIRST Flux (mJy),VLASS Flux (mJy),Spec from VLASS (upper limit),Spec from FIRST (upper limit),Metallicity,Log(SFR),C Log(SFR),Log(Mass),Log(sSFR),OIII5008,OIII5008_err,HBeta,HBeta_err,NII6548,NII6548_err,HAlpha,HAlpha_err,SII6731,e_SII6731	,SII6717,e_SII6717,SIIsummed,SIIsummed_err,OI6302,OI6302_err,cont (ha),flux/cont (WHa),cont_err,Radio Loudness,Spec from VLASS (upper limit),Spec from FIRST (upper limit),OIII/Hbeta,Class (VLASS),Class (FIRST),gmag
1237658206122999832,188.113683,51.077524,7.11E-12,13.755,0.04138,16.337,ILTJ123227.31+510439.0,188.1138,51.0775,1.2,ILTJ123227.28+510439.0,188.11367,51.07752,1.513,0.133,0.03,J123227.28+510439.1,13.249,0.024,13.112,0.028,9.701,0.049,3.411,0.137,0.45,0.48,-0.38,-0.54,8.7315,0.255,-0.056,10.094,-10.150,39.534,0.029,39.884,0.014,39.653,0.009,40.478,0.006,39.638,0.022,39.791,0.016,79.429,0.038,39.064,0.073,39.191,1.032839172,0.018,0.43,-0.38,-0.54,-0.35,3,2,17.023
1237657858219376732,175.357323,53.319531,8.54E-13,13.509,0.03296,15.959,ILTJ114125.76+531910.3,175.3573,53.3195,3.4,ILTJ114125.76+531910.3,175.35735,53.31954,3.947,0.14,0.07,J114125.75+531911.0,12.931,0.033,12.7,0.034,8.522,0.031,4.178,0.231,0.45,0.48,-0.70,-0.97,8.7238,0.619,0.371,10.155,-9.784,39.525,0.014,39.862,0.008,39.752,0.005,40.588,0.004,39.613,0.013,39.716,0.01,79.329,0.023,38.926,0.045,38.87,1.044198611,0.013,0.72,-0.70,-0.97,-0.34,2,1,16.706
1237661362372608129,205.27343,46.278381,2.60E-12,14.310,0.03682,16.432,ILTJ134105.64+461641.9,205.2735,46.2783,1.6,ILTJ134105.63+461642.1,205.27345,46.27836,2.03,0.121,0.09,J134105.61+461642.2,13.675,0.025,13.497,0.029,9.8,0.05,3.697,0.178,0.45,0.48,-0.48,-0.67,8.5878,0.18,0.104,9.920,-9.816,39.633,0.011,39.76,0.009,39.39,0.007,40.441,0.004,39.648,0.011,39.797,0.008,79.445,0.019,38.931,0.04,38.785,1.042696919,0.019,0.59,-0.48,-0.67,-0.13,2,2,17.116
1237658801505566750,202.203979,53.44291,4.50E-12,13.229,0.02536,15.24,ILTJ132848.91+532634.4,202.2038,53.4429,2.9,ILTJ132848.95+532634.5,202.20394,53.44293,4.07,0.151,0.11,J132848.94+532634.5,12.525,0.022,12.423,0.022,8.861,0.023,3.562,0.102,0.45,0.48,-0.71,-0.98,8.6684,0.395,-0.128,9.949,-10.077,39.819,0.009,40.049,0.006,39.722,0.005,40.624,0.004,39.835,0.009,39.942,0.007,79.777,0.016,39.044,0.033,39.025,1.040973735,0.014,0.37,-0.71,-0.98,-0.23,1,1,15.813
1237658613596618862,186.950229,50.407931,0,13.624,0.03883,15.632,ILTJ122748.02+502428.5,186.9501,50.4079,2,ILTJ122748.04+502428.6,186.95016,50.40796,2.313,0.131,0.19,J122748.01+502428.6,12.805,0.024,12.662,0.025,9.228,0.03,3.434,0.143,0.45,0.48,-0.52,-0.73,8.7422,0.478,0.261,10.400,-10.139,39.406,0.022,39.817,0.01,39.671,0.006,40.523,0.004,39.73,0.013,39.831,0.011,79.561,0.024,39.015,0.048,39.062,1.037402079,0.017,0.29,-0.52,-0.73,-0.41,2,1,16.223
1237661358076854300,170.096226,47.099793,2.26E-12,14.773,0.02478,16.226,ILTJ112023.08+470559.3,170.0962,47.0998,1.1,ILTJ112023.11+470559.0,170.09629,47.09975,1.602,0.169,0.21,J112023.08+470559.2,13.738,0.026,13.525,0.03,9.534,0.035,3.991,0.213,0.45,0.48,-0.40,-0.57,8.4885,-0.041,-0.148,9.254,-9.402,40.141,0.005,40.097,0.005,39.46,0.005,40.65,0.003,39.674,0.007,39.8,0.006,79.474,0.013,38.843,0.026,38.594,1.053272529,0.018,0.28,-0.40,-0.57,0.04,2,2,16.596
1237661386529308802,206.665054,55.113987,2.25E-12,14.498,0.0398,16.994,ILTJ134639.60+550650.2,206.665,55.114,1.6,ILTJ134639.63+550650.5,206.66512,55.11403,1.659,0.157,0.21,J134639.62+550650.2,13.767,0.025,13.559,0.029,9.528,0.031,4.031,0.208,0.45,0.48,-0.41,-0.58,8.811,0.284,0.21,9.762,-9.552,39.118,0.037,39.707,0.013,39.601,0.006,40.417,0.005,39.524,0.015,39.667,0.012,79.191,0.027,38.89,0.053,38.845,1.040468529,0.019,0.72,-0.41,-0.58,-0.59,2,2,17.646
1237655463777796229,223.695114,55.536501,1.89E-12,13.751,0.03176,15.709,ILTJ145446.89+553211.2,223.6954,55.5364,1.6,ILTJ145446.82+553211.6,223.69509,55.53656,2.472,0.289,0.21,J145446.84+553211.4,12.94,0.024,12.866,0.024,9.403,0.027,3.463,0.074,0.45,0.48,-0.54,-0.76,8.7903,0.208,-0.094,9.936,-10.030,39.014,0.037,39.533,0.012,39.275,0.009,40.086,0.006,39.249,0.024,39.381,0.018,78.63,0.042,38.678,0.075,38.992,1.028057037,0.01,0.35,-0.54,-0.76,-0.52,2,1,16.3
1237657630600265921,174.717648,53.059353,1.80E-12,0.000,0.02795,17.637,ILTJ113852.18+530333.1,174.7174,53.0592,1.1,ILTJ113852.22+530333.4,174.71758,53.0593,1.485,0.168,0.23,J113852.24+530333.7,15.27,0.034,15.183,0.067,12.165,0.317,3.018,0.087,0.45,0.48,-0.38,-0.53,8.477,-0.943,-0.858,8.837,-9.695,39.016,0.017,38.922,0.019,38.336,0.018,39.512,0.007,38.704,0.025,38.878,0.018,77.582,0.043,38.182,0.073,38.111,1.03676104,0.023,0.84,-0.38,-0.53,0.09,3,2,18.062
1237661434313572453,202.395183,46.106181,2.98E-12,14.435,0.03681,15.973,ILTJ132934.88+460622.1,202.3953,46.1062,0.9,ILTJ132934.86+460622.1,202.39526,46.10614,1.414,0.151,0.24,J132934.84+460622.1,13.5,0.024,13.352,0.029,9.764,0.041,3.588,0.148,0.45,0.48,-0.36,-0.51,8.7423,0.184,-0.003,9.803,-9.806,39.628,0.015,40.064,0.007,39.752,0.005,40.629,0.005,39.811,0.01,39.902,0.009,79.713,0.019,38.982,0.046,39.014,1.041395397,0.016,0.18,-0.36,-0.51,-0.44,3,2,16.465
