LoTSS Source,RA (deg),DEC (deg),DR2 Flux (mJy),Error in Flux (mJy),FIRST Flux (mJy),SDSS RA,SDSS DEC,Offset from source to galaxy (arcsec),Spec from VLASS (upper limit),Spec from VLASS (lower limit),Spec from FIRST (upper limit),Projected Offset (kpc),Redshift ,Metallicity ,Log(Mass),Log(SFR),Log(sSFR),,Name,OIII5008,OIII5008_err,HBeta,HBeta_err,NII6549,NII6549_err,HAlpha,HAlpha_err,SIIsummed,SIIsummed_err,OI6302,OI6302_err,flux/cont (WHa),flux_err,cont_err
ILTJ115749.07+475408.8,179.4544706,47.90251243,2.861,0.151,<0.45,,,0.5,<-0.59,>-1.64,<-0.82,3.876,0.03202,8.6654,9.654,-0.36,-10.014,,ILTJ115749.07+475408.8,89.11182,3.233801,158.6757,3.732465,87.80551,1.30494,750.4965,7.620028,245.8449,4.691941125,18.83018,2.371166,50.72584597,7.62002800,0.77090540
ILTJ112023.11+470559.0,170.0962158,47.09980821,1.602,0.169,<0.45,,,0.1,<-0.40,>-1.45,<-0.56,3.025,0.02478,8.4885,9.254,-0.148,-9.402,,ILTJ112023.11+470559.0,988.3177,11.15834,892.037,9.719503,206.156,2.188106,3189.334,23.85389,788.1715,8.536847245,49.78001,2.955201,113.69526159,23.85389000,1.13938600
ILTJ111720.02+472116.0,169.3333727,47.35453042,3.987,0.15,1.11,,,0.1,<-0.70,>-1.75,-0.56,4.198,0.0348,8.8432,10.235,0.561,-9.674,,ILTJ111720.02+472116.0,32.04633,3.789652,164.2197,4.492301,147.8988,2.117831,1012.14,10.17298,296.3789,6.913955569,18.68955,3.594663,32.87480621,10.17298000,1.92580200
ILTJ114257.32+522755.7,175.7392233,52.46558289,1.518,0.235,<0.45,,,0.8,<-0.38,>-1.43,<-0.54,4.111,0.02955,8.5304,9.726,-0.071,-9.797,,ILTJ114257.32+522755.7,367.5627,5.843137,319.6222,5.152139,109.3787,1.482305,1206.64,10.7347,361.2921,5.620268288,32.69918,2.601402,56.10431542,10.73470000,0.59299680
ILTJ105436.51+460609.1,163.6523683,46.10234408,1.914,0.169,<0.45,,,0.4,<-0.46,>-1.51,<-0.64,3.587,0.03846,8.7612,10.214,0.122,-10.092,,ILTJ105436.51+460609.1,19.3842,3.306719,58.3171,3.335735,47.16346,1.385522,341.8322,5.501911,115.96433,5.091801272,17.6229,3.13847,14.91134084,5.50191100,0.89206910
ILTJ104833.55+475914.9,162.1399816,47.98742958,2.281,0.131,<0.45,,,0.2,<-0.52,>-1.57,<-0.72,4.62,0.03313,8.5004,9.913,0.118,-9.795,,ILTJ104833.55+475914.9,1542.843,15.73595,734.888,9.055512,415.2174,3.760573,3112.135,24.56823,871.7189,10.22043346,78.14828,4.161833,76.67117181,24.56823000,3.28317200
ILTJ112837.50+504938.7,172.1561289,50.82740502,2.847,0.154,<0.45,,,0.5,<-0.59,>-1.64,<-0.82,4.639,0.03228,8.7467,10.62,-0.185,-10.805,,ILTJ112837.50+504938.7,77.36827,8.230618,133.1039,6.900953,147.2195,3.968155,677.5945,12.54008,215.70783,19.050541,33.75656,8.461339,4.652038304,12.54008,1.835744
ILTJ112909.71+505956.7,172.2904238,50.9991818,1.943,0.203,<0.45,,,0.3,<-0.46,>-1.52,<-0.65,4.005,0.03397,-,10.107,-0.485,-10.592,,ILTJ112909.71+505956.7,22.99499,3.264248,30.21172,3.082511,0,0,0,0,76418.01485,265570.3,8.147221,2.820279,0,0,0
ILTJ113852.22+530333.4,174.7176639,53.05934993,1.485,0.168,<0.45,,,0.8,<-0.37,>-1.43,<-0.53,4.102,0.02795,8.477,8.837,-0.858,-9.695,,ILTJ113852.22+530333.4,58.06285,2.306084,46.67817,2.067159,12.12478,0.4984034,181.5916,2.797941,70.49596,2.439956397,8.492476,1.424243,25.1350831,2.797941,0.3781278
ILTJ105632.59+463802.8,164.1381369,46.63158966,1.56,0.173,<0.45,,,11.7,<-0.39,>-1.44,<-0.55,3.399,0.03863,8.6032,9.466,-0.075,-9.541,,ILTJ105632.59+463802.8,17.73808,2.08491,27.82969,2.06406,8.557323,0.545598,100.8541,2.356436,44.58081,2.433207142,4.848566,1.555285,16.00717715,2.35643600,0.55261280
ILTJ112915.64+504544.3,172.3173419,50.75919092,1.557,0.202,<0.45,,,11.9,<-0.39,>-1.44,<-0.55,3.985,0.03404,8.5843,9.299,-0.438,-9.737,,ILTJ112915.64+504544.3,31.6493,2.221399,42.67484,2.377766,13.27943,0.5180843,154.05,2.417675,63.64557,2.312838953,3.620073,1.358594,18.30317181,2.417675,0.54810430
