SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237658802031755346,161.079001,52.770133,0.02489,ILTJ104418.95+524612.3,161.079,52.7701,7.6,ILTJ104418.97+524612.7,161.07906,52.7702,7.641,0.29,J104418.97+524612.5,10.952,0.023,11.01,0.02,10.374,0.065,0.636,-0.058
1237658205041786921,162.139985,47.98742,0.03313,ILTJ104833.58+475914.7,162.1399,47.9874,1.5,ILTJ104833.55+475914.9,162.13978,47.98749,2.281,0.56,J104833.59+475914.8,13.101,0.024,12.939,0.026,8.906,0.029,4.033,0.162
1237658204505047118,162.575006,47.771199,0.04061,ILTJ105017.96+474616.6,162.5748,47.7713,1.1,ILTJ105017.92+474616.7,162.57466,47.77133,1.742,0.97,J105018.00+474616.3,13.711,0.025,13.531,0.031,9.7,0.041,3.831,0.18
1237657630060052569,162.846864,50.93083,0.02429,ILTJ105123.23+505551.3,162.8468,50.9309,2.2,ILTJ105123.22+505551.2,162.84674,50.9309,3.203,0.39,J105123.23+505551.3,12.247,0.023,12.113,0.022,8.536,0.025,3.577,0.134
1237661358074888261,163.652437,46.102376,0.03846,ILTJ105436.55+460608.7,163.6523,46.1024,1.4,ILTJ105436.51+460609.1,163.65213,46.10253,1.914,0.96,J105436.58+460607.8,13.184,0.031,13.002,0.033,9.317,0.041,3.685,0.182
1237661358611955813,164.138048,46.631512,0.03863,ILTJ105632.55+463803.5,164.1356,46.6343,0.8,ILTJ105632.59+463802.8,164.13579,46.63412,1.56,10.94,J105633.13+463753.8,14.825,0.032,14.574,0.051,11.285,0.17,3.289,0.251
1237661358075412578,165.406641,46.298794,0.03724,ILTJ110137.62+461756.0,165.4068,46.2989,1,ILTJ110137.60+461755.4,165.40667,46.29873,1.745,0.23,J110137.60+461755.6,12.045,0.023,12.052,0.021,10.211,0.057,1.841,-0.007
1237657858217017368,166.622748,52.313137,0.02143,ILTJ110629.47+521847.3,166.6228,52.3131,1,ILTJ110629.47+521847.2,166.62278,52.31311,1.424,0.11,J110629.45+521848.1,13.982,0.026,13.82,0.034,10.436,0.072,3.384,0.162
1237661358613528623,169.333363,47.354534,0.0348,ILTJ111720.03+472116.0,169.3334,47.3545,3.4,ILTJ111720.02+472116.0,169.33341,47.35447,3.987,0.24,J111719.97+472116.5,12.632,0.024,12.441,0.024,8.416,0.023,4.025,0.191
1237661358076854300,170.096226,47.099793,0.02478,ILTJ112023.08+470559.3,170.0962,47.0998,1.1,ILTJ112023.11+470559.0,170.09629,47.09975,1.602,0.21,J112023.08+470559.2,13.738,0.026,13.525,0.03,9.534,0.035,3.991,0.213
